,Показатель,2017,2016,2015
0,Коэффициент автономии (независимости) (КиР/ИБ),0.193,0.072,0.066
1,Коэффициент финансовой зависимости ((ДСО+КСО)/ИБ),0.807,0.928,0.934
2,Коэффициент соотношения заемных и собственных средств ((ДСО+КСО)/КиР),4.191,12.888,14.124
3,Коэффициент финансовой устойчивости ((КиР+ДСО)/ИБ),0.719,0.741,0.716
4,Доля краткосрочных кредитов и займов в заемном капитале (КК/(ДСО+КСО)),0.189,0.141,0.128
5,Доля расчетов с кредиторами в заемном капитале (КЗ/(ДСО+КСО)),0.149,0.126,0.164
6,Коэффициент соотношения мобильных и иммобилизованных средств (ОА/ВА),0.229,0.107,0.319
7,Коэффициент маневренности (СОС/КиР),-3.225,-11.545,-10.464
8,Коэффициент обеспеченности оборотных активов собственными оборотными средствами (СОС/ОА),-3.338,-8.599,-2.859
9,Коэффициент обеспеченности запасов собственными оборотными средствами (СОС/Зап),-961.652,-800.766,-489.996
10,Индекс постоянного актива (ВА/КиР),4.225,12.545,11.464
11,Коэффициент реальной стоимости имущества ((ОС+Зап)/ИБ),0.289,0.357,0.338
